"","BPGSA_DiseaseGenes@score"
"GO:0032769",0.218984440122256
"GO:0039532",0.963441652270596
"GO:0045869",0.770481167054622
"GO:0039535",0.896551724137931
"GO:0034633",0.745210797147242
"GO:0090342",0.0384863397748977
"GO:0039536",0.468965517241379
"GO:0036022",0.27015901386629
"GO:0034635",0.924240755023867
"GO:0090343",0.0371385592355298
"GO:0036023",0.52608840146228
"GO:0090344",0.218442259925621
"GO:0090345",0.286881712833166
"GO:0034637",0.0880074813006309
"GO:0090346",1
"GO:0034638",0.0120859914670191
"GO:0090347",0.174003828084218
"GO:0032753",0.980491526686261
"GO:0045851",0.218858004126168
"GO:0090348",0.5
"GO:0032754",0.576209510303621
"GO:0045852",0.754777334366895
"GO:0090349",0.199918066366243
"GO:0032755",0.0407431724560784
"GO:0097291",0.411764705882353
"GO:0032757",0.0344138002610092
"GO:0032759",0.62085032032615
"GO:0097296",0.708333333333333
"GO:0045859",0.187962854933529
"GO:0090330",0.610502444228883
"GO:0036010",0.831745356190402
"GO:0097298",0.283068783068783
"GO:0090331",0.48706733627537
"GO:0090335",0.151686629439043
"GO:0032781",0.974608266661122
"GO:0036015",0.0499570744084306
"GO:0090336",0.600777428613603
"GO:0032782",0.922916479977374
"GO:0045880",0.999455550243642
"GO:0036016",0.0402960288957518
"GO:0036017",0.377301341331711
"GO:0032784",0.772701542070598
"GO:0036018",0.255752148408139
"GO:0032785",0.818044277359813
"GO:0120040",0.312744965669347
"GO:0032786",0.843089363376705
"GO:0061300",0.0854690374003679
"GO:0120041",0.571602467933299
"GO:0032787",0.647209674056128
"GO:0061301",0.255636224684754
"GO:0120042",0.298969072164948
"GO:0061302",0.128700702545847
"GO:0061303",0.941504172894907
"GO:0086091",0.656989503312974
"GO:0061304",0.46795277999428
"GO:1902570",0.711713335087404
"GO:0061307",0.563687361122817
"GO:0061308",0.418288504791239
"GO:0086096",0.583333333333333
"GO:0061309",0.799320448255975
"GO:0086097",0.653044203502919
"GO:0032770",0.109382813478131
"GO:0086098",0.738095238095238
"GO:0036046",0.245454545454545
"GO:1902579",0.830766496165794
"GO:0036047",0.205405405405406
"GO:0032774",1.71955405377904e-07
"GO:0036048",0.432360300250209
"GO:0036049",0.369061744671501
"GO:0032776",0.00890503535777401
"GO:0120031",0.999999999998858
"GO:0120032",0.66749972877684
"GO:0045876",0.891600061906601
"GO:0120033",0.929390103467157
"GO:0120034",0.0954153785629182
"GO:0120035",0.000153914688673739
"GO:0045879",0.997347928549991
"GO:0120036",0.0427016778953671
"GO:1902524",0.421345424143032
"GO:0034605",0.000919456337666321
"GO:0120039",0.978201252323238
"GO:0032720",0.582301950582532
"GO:0036035",0.390254305067333
"GO:0032722",0.00464088237361978
"GO:0045820",0.132899976031003
"GO:1902528",0.376847290640394
"GO:0045821",0.0147162904072544
"GO:0036037",0.397848386321892
"GO:0032724",0.708902691511387
"GO:0045822",0.538629594866177
"GO:0032725",0.0172362430768915
"GO:0045823",0.0461095884340615
"GO:0045824",0.797859585656613
